Generation,Sex,Treatment,Sugar Weight,Glucose,Trehalose,Glycogen
F2,female,HSD,3.76,11.87057246,24.43363433,29.92766882
F3,male,NSD,2.59,6.958602046,13.76375072,22.51606458
F3,male,NSD,2.71,7.439739044,13.67134081,16.78818682
F3,male,NSD,2.29,4.426568119,11.70547615,13.91147806
F3,male,NSD,2.52,7.567273337,17.75645486,13.91784767
F3,male,NSD,2.32,6.353615934,18.82129605,10.90341219
F3,male,NSD,2.32,7.601202113,21.05472335,6.612430771
F3,male,NSD,2.47,7.941027122,17.0365464,10.28753345
F3,male,NSD,2.59,8.550974031,16.81318073,12.97412168
F3,male,LSD,2.55,4.17353041,7.712747198,12.46675518
F3,male,LSD,2.41,7.409764603,7.412787712,16.11556592
F3,male,LSD,2.23,5.237717184,62.11218548,20.14052243
F3,male,LSD,2.42,7.326112345,12.44873199,12.99678051
F3,male,LSD,2.35,7.352562345,10.989603,8.031580334
F3,male,LSD,2.47,7.383273958,15.13227006,12.42698699
F3,male,LSD,2.43,6.538303635,58.04511271,6.656272171
F3,male,LSD,2.5,6.073725571,6.814054877,6.762621607
F3,male,CD,2.59,7.507670171,4.6923916,26.05305
F3,male,CD,2.48,9.510303567,5.295282316,18.06385643
F3,male,CD,2.54,7.615134227,40.21423667,27.19475592
F3,male,CD,2.58,7.098896796,11.29366086,13.00543406
F3,male,CD,2.51,8.922136547,4.896520132,15.48510212
F3,male,CD,2.59,8.13799467,8.367178078,17.70802609
F3,male,CD,2.36,4.69E-05,15.19615052,23.95056809
F3,male,CD,2.52,3.844772924,21.34844236,2.601757742
F3,male,HSD,2.6,9.744086462,16.1806949,15.3241647
F3,male,HSD,2.74,9.789277534,42.90035632,14.07177691
F3,male,HSD,2.35,9.111070645,36.95919887,11.57530415
F3,male,HSD,2.48,7.981775083,31.52208628,16.02934469
F3,male,HSD,2.58,12.46866153,19.10788301,6.996383062
F3,male,HSD,2.61,10.54075337,15.4576095,7.41758865
F3,male,HSD,2.61,14.21990926,28.23029704,13.2007024
F3,male,HSD,2.56,8.816784668,23.99365131,9.671168262
F3,female,NSD,3.61,7.457766697,37.51060327,27.0222333
F3,female,NSD,3.37,4.862931026,5.775351692,8.377068974
F3,female,NSD,3.92,14.85201771,32.61907168,44.10798229
F3,female,NSD,3.83,15.69293589,36.65074956,52.58706411
F3,female,NSD,3.79,11.62989893,25.13280819,25.73010107
F3,female,NSD,3.35,13.25272424,24.09108861,21.06727576
F3,female,NSD,3.57,11.20684192,26.83893431,36.03315808
F3,female,NSD,3.64,7.790572988,29.50192312,56.32942701
F3,female,LSD,3.54,6.000044021,20.27098779,33.12257754
