"","metabolite","generation","treatment","sex","pAdj","AllSig","variable","estimate","std.error","statistic","p.value"
"33","Glycogen","F4","HSD","male",0.257392820383176," ","TreatmentHSD",8.63436716859426,4.85209587030207,1.77951289492075,0.0786478062281928
"36","Glycogen","F5","HSD","male",0.530939704458235," ","TreatmentHSD",5.39693338392879,4.56615055514555,1.18194380994447,0.240448514391625
"20","Glycogen","F0","LSD","male",0.858059865910097," ","TreatmentLSD",1.18150863615265,4.00986024818457,0.294650826468969,0.769369940290791
"23","Glycogen","F1","LSD","male",0.572723774451717," ","TreatmentLSD",-7.6541988277071,7.10964926611788,-1.07659302747667,0.286361887225858
"26","Glycogen","F2","LSD","male",0.685775330926951," ","TreatmentLSD",-4.09493422572448,4.76320879829829,-0.859700760375536,0.393685838124731
"29","Glycogen","F3","LSD","male",0.730676314729194," ","TreatmentLSD",-3.77382798577209,5.74757755948771,-0.656594529906345,0.514179628883507
"32","Glycogen","F4","LSD","male",0.433017173143506," ","TreatmentLSD",6.87033709956084,4.89936190055538,1.40229222478585,0.164386149063739
"35","Glycogen","F5","LSD","male",0.670028722517704," ","TreatmentLSD",-4.13567709342925,4.610989366124,-0.896917508379705,0.372238179176502
"19","Glycogen","F0","NSD","male",0.00973594151281657,"**","TreatmentNSD",-15.6281397926855,4.25267673577882,-3.67489484004322,0.000540885639600921
"22","Glycogen","F1","NSD","male",0.685775330926951," ","TreatmentNSD",6.05796786166541,7.01130534083014,0.864028532089025,0.39132482982366
"25","Glycogen","F2","NSD","male",0.0100801521153242,"*","TreatmentNSD",-17.1125765859685,4.74410564021502,-3.60712384667575,0.0006684567832848
"28","Glycogen","F3","NSD","male",0.748841603945673," ","TreatmentNSD",-3.50366543588484,5.69333170647193,-0.615398086133297,0.540830047294097
"31","Glycogen","F4","NSD","male",0.572723774451717," ","TreatmentNSD",5.30079367465429,4.9182047777508,1.07779035526017,0.284106691836722
"34","Glycogen","F5","NSD","male",0.790045626172218," ","TreatmentNSD",-2.53744231065005,4.72388675313657,-0.537151384707781,0.592534219629164
"39","Trehalose","F0","HSD","female",0.00451523560626725,"**","TreatmentHSD",16.411864316162,3.97628360957902,4.1274380621707,0.000125423211285201
"42","Trehalose","F1","HSD","female",0.561769090746785," ","TreatmentHSD",-4.85322857094593,4.34384711161175,-1.11726505243993,0.268737920570171
"45","Trehalose","F2","HSD","female",0.784408642604175," ","TreatmentHSD",-5.13464366812618,9.24912033010933,-0.555149407172378,0.581043438966056
"48","Trehalose","F3","HSD","female",0.703127331746512," ","TreatmentHSD",-4.53205546471338,5.69644891442444,-0.795593102439206,0.429688924956202
"51","Trehalose","F4","HSD","female",0.771228190502338," ","TreatmentHSD",9.55989831479153,16.5133374745835,0.578919817360098,0.564139139348933
"54","Trehalose","F5","HSD","female",0.858059865910097," ","TreatmentHSD",-0.850714679623033,3.0127153267577,-0.282374730883909,0.77839467248734
"38","Trehalose","F0","LSD","female",0.728187831243822," ","TreatmentLSD",2.7148448613979,3.8936357018327,0.697251892394568,0.488582111686522
"41","Trehalose","F1","LSD","female",0.0368008424706711,"*","TreatmentLSD",-12.996270825108,4.33687305842321,-2.99669154481388,0.00408898249674123
"44","Trehalose","F2","LSD","female",0.847979160240028," ","TreatmentLSD",-3.11777372404768,8.63368838151417,-0.361117240543825,0.719395262137011
"47","Trehalose","F3","LSD","female",0.561769090746785," ","TreatmentLSD",6.52053809659929,5.85768513351864,1.11315954134982,0.270481414063267
"50","Trehalose","F4","LSD","female",0.320529647877634," ","TreatmentLSD",28.3715098228817,17.3905815532937,1.63142961814915,0.106414568536602
"53","Trehalose","F5","LSD","female",0.0357612474207513,"*","TreatmentLSD",-7.7420448985347,2.58324152361709,-2.99702711796541,0.00364234927433578
"37","Trehalose","F0","NSD","female",0.195573344851262," ","TreatmentNSD",-10.9154464741789,5.37524778152804,-2.03068712696178,0.0471324999817008
"40","Trehalose","F1","NSD","female",0.257392820383176," ","TreatmentNSD",-7.8000423536487,4.32154982176052,-1.80491783627548,0.076562874751303
"43","Trehalose","F2","NSD","female",0.195573344851262," ","TreatmentNSD",17.5600817321406,8.73558355444275,2.01017844116548,0.0493268458035112
"46","Trehalose","F3","NSD","female",0.492227922634641," ","TreatmentNSD",7.42601402870842,5.83689831902154,1.27225345086245,0.208635799532907
"49","Trehalose","F4","NSD","female",0.921533168923445," ","TreatmentNSD",-2.64553347769215,17.3079049021541,-0.152851167870866,0.8788695962881
"52","Trehalose","F5","NSD","female",0.0207673053325352,"*","TreatmentNSD",-7.21965252271772,2.24950638192548,-3.20943855982218,0.0019228986419014
"57","Trehalose","F0","HSD","male",0.208383429934426," ","TreatmentHSD",7.52089608069465,3.85158810072172,1.95267403575303,0.0559548098897995
"60","Trehalose","F1","HSD","male",0.00451523560626725,"**","TreatmentHSD",18.769544652094,4.32024509997122,4.34455550964437,6.05883997093997e-05
"63","Trehalose","F2","HSD","male",0.728187831243822," ","TreatmentHSD",-5.909436801809,8.54832846338641,-0.691297348612642,0.492286417020318
"66","Trehalose","F3","HSD","male",0.132119895494444," ","TreatmentHSD",12.9159838405969,5.63256502659388,2.29309094162513,0.0256899796794752
"69","Trehalose","F4","HSD","male",0.716986962216119," ","TreatmentHSD",12.0571039900555,16.4908632996929,0.731138435322545,0.46665923533291
"72","Trehalose","F5","HSD","male",0.195573344851262," ","TreatmentHSD",4.15447867291051,2.09376050046829,1.98421866874521,0.050704200516994
