Study,Generation,Sex,Treatment,Sugar Weight,Glucose,Trehalose,Glycogen
Pilot,F4,male,HSD,2.69,10.68012422,17.76492418,76.8891647
Pilot,F4,male,HSD,2.56,8.70223319,20.2298258,41.15308325
Pilot,F4,male,HSD,2.56,8.05731564,17.04089981,38.88128543
Pilot,F4,male,HSD,2.55,9.376058733,37.18423511,57.00026594
Pilot,F4,female,NSD,3.68,10.67638728,17.88388511,120.8134176
Pilot,F4,female,NSD,3.03,9.349033953,16.89701019,81.96684782
Pilot,F4,female,NSD,3.43,11.87110469,15.51482862,75.28414608
Pilot,F4,female,NSD,3.6,13.86206882,24.16861857,146.7387556
Pilot,F4,female,NSD,3.59,13.95564611,20.78148941,65.42039299
Pilot,F4,female,NSD,3.64,12.36048645,23.5673835,50.73343557
Pilot,F4,female,NSD,3.79,12.16471049,19.02374844,41.11516834
Pilot,F4,female,NSD,3.56,12.37774376,18.19677743,21.81287749
Pilot,F4,female,LSD,3.36,8.77015408,17.12612724,72.82798297
Pilot,F4,female,LSD,3.48,9.879234301,20.89145354,94.46095921
Pilot,F4,female,LSD,3.95,14.2894721,22.52725711,88.67196166
Pilot,F4,female,LSD,3.24,9.803498334,15.6902956,77.18738029
Pilot,F4,female,LSD,3.7,12.97419256,17.44765021,62.74614872
Pilot,F4,female,LSD,3.56,9.468313953,25.50464356,58.08722215
Pilot,F4,female,LSD,3.1,7.374876371,17.84985732,36.12472112
Pilot,F4,female,LSD,3.55,10.91540983,23.80669167,116.2559564
Pilot,F4,female,CD,3.68,7.091383812,19.5947865,120.655344
Pilot,F4,female,CD,3.96,11.103582,16.45697345,100.0161599
Pilot,F4,female,CD,3.79,11.9374024,17.67486592,122.2037053
Pilot,F4,female,CD,3.8,11.35556616,12.22397821,34.57472806
Pilot,F4,female,CD,3.17,6.51305256,8.208075796,40.49656167
Pilot,F4,female,CD,3.8,8.735800048,19.03901407,145.2324354
Pilot,F4,female,CD,3.52,8.358044023,12.05356844,60.75413814
Pilot,F4,female,CD,3.74,13.16451982,17.33644256,75.8937548
Pilot,F4,female,HSD,3.57,8.44912787,23.37806821,110.0831948
Pilot,F4,female,HSD,3.92,8.388817861,16.92613388,76.23269221
Pilot,F4,female,HSD,3.74,15.70204069,21.30548471,119.6515489
Pilot,F4,female,HSD,3.83,13.43459543,23.82937849,135.0753939
Pilot,F4,female,HSD,3.56,11.55334155,18.79401072,65.03461978
Pilot,F4,female,HSD,3.99,16.92086611,22.45808262,114.8303252
Pilot,F4,female,HSD,3.62,19.57712626,27.22202775,143.2784455
Pilot,F4,female,HSD,3.92,15.52802407,20.28470419,77.41082971
Pilot,F5,male,NSD,2.49,4.862429892,7.362180316,73.84738092
Pilot,F5,male,NSD,2.63,6.606023985,13.1790084,63.91777036
Pilot,F5,male,NSD,2.64,6.341866978,12.14699626,55.75599112
Pilot,F5,male,NSD,2.67,5.245895306,12.11255978,35.02912897
Pilot,F5,male,NSD,2.52,3.789248679,6.27597723,21.68283456
Pilot,F5,male,NSD,2.62,6.388534797,13.17910316,56.36406058
Pilot,F5,male,NSD,2.56,5.665097826,16.07838896,63.82643604
Pilot,F5,male,NSD,2.57,4.387054404,13.61343559,25.92552389
Pilot,F5,male,LSD,2.71,6.255015896,7.365694952,42.58498102
Pilot,F5,male,LSD,2.62,6.291123212,9.732948476,32.92304081
Pilot,F5,male,LSD,2.44,6.488396546,12.80075149,49.99415339
Pilot,F5,male,LSD,2.65,2.549874323,17.62720654,43.59137949
Pilot,F5,male,LSD,2.58,8.417752993,13.95614315,67.31443854
Pilot,F5,male,LSD,2.59,5.364780235,10.50422027,25.92241605
Pilot,F5,male,LSD,2.55,6.268474838,23.22532946,48.03583035
Pilot,F5,male,LSD,2.62,8.062972799,15.70647098,44.47717325
Pilot,F5,male,CD,2.51,6.529553984,9.430958262,59.34023487
Pilot,F5,male,CD,2.5,5.404044475,8.605486152,34.62560239
Pilot,F5,male,CD,2.64,8.011658844,12.44765645,48.8423373
Pilot,F5,male,CD,2.47,6.612231152,13.71050346,51.56828286
Pilot,F5,male,CD,2.41,7.847294385,13.91022654,72.3952539
Pilot,F5,male,CD,2.57,12.0017842,7.387602576,34.47015062
Pilot,F5,male,CD,2.38,6.354425803,13.51848616,58.70420182
Pilot,F5,male,CD,2.51,4.557161818,11.82177669,34.51473643
Pilot,F5,male,HSD,2.47,7.285343331,22.50638027,49.8576308
Pilot,F5,male,HSD,2.43,7.424547387,10.56832137,54.25011183
Pilot,F5,male,HSD,2.39,8.589087494,14.85222216,46.38947011
Pilot,F5,male,HSD,2.61,8.968538204,16.80648231,60.94543104
Pilot,F5,male,HSD,2.49,8.603878075,15.88459412,74.23575341
Pilot,F5,male,HSD,2.51,8.286589758,18.26247618,51.64307911
Pilot,F5,male,HSD,2.55,7.114158435,15.75035355,59.52805937
Pilot,F5,male,HSD,2.46,7.825183088,14.28050921,51.71184705
Pilot,F5,female,NSD,3.9,5.991881134,13.41842768,108.1206994
Pilot,F5,female,NSD,3.93,12.58359271,18.9114767,153.2646905
Pilot,F5,female,NSD,3.84,12.05474016,20.87024603,144.4960124
Pilot,F5,female,NSD,3.79,8.47117823,14.36033441,72.39153226
Pilot,F5,female,NSD,3.58,6.203800204,18.79339818,65.7453271
Pilot,F5,female,NSD,3.75,7.870011197,16.00600284,67.17289188
Pilot,F5,female,NSD,3.78,11.78913409,21.02846562,108.4555075
Pilot,F5,female,NSD,3.99,11.28430391,15.59501122,75.42140269
Pilot,F5,female,LSD,4.05,13.30507431,19.23591332,140.8562422
Pilot,F5,female,LSD,3.81,8.08396927,13.0882155,39.70448109
Pilot,F5,female,LSD,3.78,9.645574457,17.18173626,69.93764361
Pilot,F5,female,LSD,4.05,10.0478784,15.9322525,68.50550531
Pilot,F5,female,LSD,3.96,11.11570122,25.70828084,58.74947231
Pilot,F5,female,LSD,3.63,8.982523419,18.70484637,80.41354553
Pilot,F5,female,LSD,3.93,14.14103717,21.2012669,59.94357231
