Study,Generation,Treatment,Sex,Sugar.Weight,Glucose,Trehalose,Glycogen
Main,F1,NSD,female,3.2,12.66506036,24.52677006,32.58354411
Main,F1,LSD,male,2.42,7.30848346,6.067942093,8.727299482
Main,F1,LSD,male,2.61,5.343300213,5.98806042,0
Main,F1,LSD,male,2.66,9.76189533,5.775964718,6.378403923
Main,F1,LSD,male,2.37,6.730177559,7.245279012,5.906270501
Main,F1,LSD,male,2.39,7.635639694,5.096132369,7.250160973
Main,F1,LSD,male,2.45,6.358195353,2.372057748,0
Main,F1,LSD,male,2.5,8.017959192,12.14697825,2.31154307
Main,F1,LSD,male,2.5,10.47222587,8.589602654,1.753510636
Main,F1,LSD,male,2.47,7.117531079,8.095193297,2.830939973
Main,F1,LSD,male,2.65,12.6689928,15.72585246,12.04696944
Main,F1,LSD,male,2.36,9.008871652,5.337815375,4.368003805
Main,F1,LSD,male,2.49,7.155378286,24.96782133,13.49478179
Main,F1,LSD,male,2.49,10.42889608,7.807273919,15.26168561
Main,F1,LSD,male,2.47,10.0421128,9.340934689,15.86492197
Main,F1,LSD,male,2.39,7.765919624,11.22589339,11.67448607
Main,F1,LSD,male,2.54,9.533222583,7.941938746,14.19819372
Main,F1,LSD,male,2.43,9.323542536,12.50013589,17.48667615
Main,F1,LSD,male,2.55,7.995649414,11.01185805,21.00311204
Main,F1,LSD,male,2.62,11.31398416,10.45161994,21.68853414
Main,F1,LSD,male,2.62,9.093073064,14.86722033,19.75091524
Main,F1,LSD,male,2.38,10.47147477,12.70193759,16.10380386
Main,F1,LSD,male,2.57,11.3037087,10.52992765,22.36097492
Main,F1,LSD,male,2.55,11.49987606,12.51038459,27.31052091
Main,F1,LSD,male,2.52,7.860182571,9.481928766,20.94524184
Main,F1,LSD,male,2.76,11.34795801,12.353973,28.00911743
Main,F1,LSD,male,2.62,11.16798535,15.15423389,25.48187819
Main,F1,LSD,male,2.71,7.13646029,10.89169419,12.87626961
Main,F1,LSD,male,2.5,8.280877738,6.711690564,17.84443278
Main,F1,LSD,male,2.36,8.461355471,7.660361638,18.18806789
Main,F1,LSD,male,2.52,8.212410923,6.084223886,30.98749467
Main,F1,LSD,male,2.59,9.494124434,6.621568324,25.43877973
Main,F1,LSD,male,2.45,7.785809908,12.66905825,23.72670387
Main,F1,LSD,male,2.46,7.449992311,7.219913147,21.55404649
Main,F1,LSD,female,3.4,10.91158549,9.40034788,23.11876641
