Generation,Treatment,Sex,SampleNo,Sugar.Weight,Glucose,Trehalose,Glycogen,Fat.Weight,TAG,Fit.Weight,Fitness
F1,NSD,male,17,2.51,10.44121502,14.49536902,17.17762573,2.61,58.66277667,NA,NA
F1,NSD,male,18,2.39,12.41126893,16.07790883,6.259224005,2.74,70.32074708,NA,NA
F1,NSD,male,19,2.57,9.380534255,6.817229324,30.78972741,2.54,73.67070304,NA,NA
F1,NSD,male,20,2.68,9.580223347,12.30360554,25.35624657,2.39,26.20858432,NA,NA
F1,NSD,male,21,2.45,9.857904056,9.493218572,17.14929466,2.45,50.31278677,NA,NA
F1,NSD,male,22,2.45,8.51846529,10.73372616,20.17492193,2.6,45.54700908,NA,NA
F1,NSD,male,23,2.58,7.949630517,9.527789184,21.03624575,2.65,73.52552373,NA,NA
F1,NSD,male,24,2.65,7.984117951,7.129227881,21.13381414,2.64,87.45505038,NA,NA
F1,NSD,male,25,2.65,9.202187871,6.648844441,16.46231091,2.6,48.05047866,NA,NA
F1,NSD,male,26,2.45,10.20212934,9.040773161,20.69898563,2.53,54.13364825,NA,NA
F1,NSD,male,27,2.59,10.8034789,3.556019122,23.09636268,2.61,61.76602115,NA,NA
F1,NSD,male,28,2.6,10.37854788,8.347192998,23.18629194,2.53,56.11407489,NA,NA
F1,NSD,male,29,2.58,9.062229298,8.85747924,29.38781011,2.59,36.74599884,NA,NA
F1,NSD,male,30,2.56,6.684174963,3.310035818,23.28659895,2.57,68.84055452,NA,NA
F1,NSD,male,31,2.52,7.496113376,5.629724303,25.45969003,2.54,77.03627421,NA,NA
F1,NSD,male,32,2.49,7.905297114,4.38978328,20.32948021,2.66,48.16293668,NA,NA
F1,NSD,male,33,2.53,7.654635662,5.715022912,26.10917349,2.43,56.28486235,NA,NA
F1,NSD,female,1,3.5,11.28591015,12.73285876,23.42851584,3.61,98.74845884,0.88,40
F1,NSD,female,2,3.48,10.3527926,14.27359055,15.31307797,3.68,55.05917988,0.87,11
F1,NSD,female,3,3.68,12.74781585,15.09614365,24.54479904,3.53,52.75289666,1.43,191
F1,NSD,female,4,3.44,14.63879294,15.5235814,19.76063331,3.51,43.53414274,1.06,138
F1,NSD,female,5,3.8,15.6103066,18.73951203,33.920407,3.7,67.86929606,1.24,102
F1,NSD,female,6,3.64,10.63296779,14.32608243,15.19022747,3.67,61.62767464,1.06,198
F1,NSD,female,7,3.87,9.814183895,16.72556064,17.98255045,3.22,18.51228272,1.01,79
F1,NSD,female,8,3.64,17.41345524,21.79917305,28.43534695,3.42,26.0794541,1.3,217
F1,NSD,female,9,3.48,9.457064835,11.8245155,23.45881907,3.45,27.89241436,0.95,83
F1,NSD,female,10,3.52,10.12475784,12.20890991,20.79902953,3.76,49.34753783,1.13,114
F1,NSD,female,11,3.69,7.959691275,12.81066381,18.24485369,3.47,57.23425004,1.13,127
