Generation,Treatment,Sex,SampleNo,Sugar.Weight,Glucose,Trehalose,Glycogen,Fat.Weight,TAG,DAG,Fit.Weight,Fitness
F1,NSD,male,12,2.42,10.0809,10.1274,16.2868,2.47,30.31970345,16.16160985,NA,NA
F1,NSD,male,13,2.37,10.829,10.0708,17.7681,2.37,30.111375,14.08801072,NA,NA
F1,NSD,male,14,2.42,12.0813,15.4287,15.0966,2.53,27.21602075,16.16529597,NA,NA
F1,NSD,male,15,2.52,9.3902,9.7989,12.1401,2.5,34.2973435,34.51884024,NA,NA
F1,NSD,male,16,2.5,9.9749,8.7378,9.1945,2.56,31.36258972,18.96494985,NA,NA
F1,NSD,male,17,2.51,9.5718,11.0563,17.2427,2.61,58.66277667,23.8743451,NA,NA
F1,NSD,male,18,2.39,11.5998,12.9374,7.0846,2.74,70.32074708,14.42581211,NA,NA
F1,NSD,male,19,2.57,8.48,2.8485,30.4454,2.54,73.67070304,26.90673495,NA,NA
F1,NSD,male,20,2.68,8.6855,8.653,25.089,2.39,26.20858432,11.93301797,NA,NA
F1,NSD,male,21,2.45,8.9714,5.7207,16.9892,2.45,50.31278677,28.36891173,NA,NA
F1,NSD,male,22,2.45,7.5925,6.8835,19.4978,2.6,45.54700908,21.52412175,NA,NA
F1,NSD,male,23,2.58,6.8929,9.0175,9.7402,2.65,73.52552373,20.1224421,NA,NA
F1,NSD,male,24,2.65,6.9292,6.5504,9.8164,2.64,87.45505038,21.59491716,NA,NA
F1,NSD,male,25,2.65,8.2131,5.989,4.2501,2.6,48.05047866,32.42323141,NA,NA
F1,NSD,male,26,2.45,9.2671,8.3918,7.8915,2.53,54.13364825,30.8821196,NA,NA
F1,NSD,male,27,2.59,9.901,2.7213,9.9282,2.61,61.76602115,109.7608267,NA,NA
F1,NSD,male,28,2.6,9.4531,7.6691,10.3037,2.53,56.11407489,30.34588074,NA,NA
F1,NSD,male,29,2.58,8.0656,8.2667,17.4921,2.59,36.74599884,60.65865917,NA,NA
F1,NSD,male,30,2.56,5.559,2.6973,12.8753,2.57,68.84055452,83.34326144,NA,NA
F1,NSD,male,31,2.52,6.4148,5.0363,14.5431,2.54,77.03627421,49.73508321,NA,NA
F1,NSD,male,32,2.49,6.8461,3.7392,9.0509,2.66,48.16293668,52.39765889,NA,NA
F1,NSD,male,33,2.53,6.5819,5.1152,15.0978,2.43,56.28486235,51.61794305,NA,NA
